	icao_code	shortnames
208	EDW	Edelweiss Air AG
209	MAO	Matair Ltd
210	LIX	Air Littoral Express
211	MTJ	Metrojet Limited
212	CHR	Air Charter Services
213	XPS	XP International BV
214	TSP	Transportes Aereos Inter S.A.
215	SVA	Saudia
216	SKX	Skyways AB
217	PRV	Provincial Express
218	AUR	Aurigny Air Services Ltd.
219	GLP	
220	RVN	Qualiflight Training D/B/A/ Raven Air
221	SFN	Safiran
222	LKR	Laker
223	RON	Nauru Air
224	CYN	Zhongyuan Aviation Co.
225	DSK	Aero Algarve, Lda
226	GDR	Gvg
227	INR	Inter Air AB
228	NST	Aviacion Ejecutiva Del Noroeste de C.V.
229	MFC	Moncton Flying Club
230	MXD	
231	JEI	
232	MCO	Aerolineas Marcos de C.V.
233	GXY	Galaxy
234	AAU	Australia Asia Airlines
235	HAR	Harbor Airlines
236	PCR	Pearson Aviation
237	RCH	Air Mobility Command
238	SHD	Sahara
239	GUY	Air Guyane
240	AMC	Air Malta
241	JLN	Eurojet
242	AZG	Silk Way West
243	GFN	The 955 Preservation Group
244	OAS	Oman Aviation Services Company Limited
245	LLA	Servicio Leo Lopez S.A. de C.V.
246	SND	San
247	NYL	Mid Airlines
248	IAK	International Air Cargo
249	WAY	Airways
250	MIS	Midstate
251	GIP	Air Guinee Express
252	MOT	Aeromonterrey S.A.
253	NLS	Nationale Luchtvaartschool B.v.
254	CLL	Aerovias Castillo
255	TFX	
256	INV	Inversia
257	MYT	Mythic
258	CIC	Icc Canada Ltd
259	FIA	FlyOne
260	PRJ	Aero Servicios Pro-Bajio de C.V.
261	SMC	Sabang Merauke Raya Air Charter PT
262	ASB	Air-spray
263	SLN	Sloane Aviation Ltd
264	FLF	Friendship
265	NLB	Novosibirsk Airlines
266	CSR	Cis-Air
267	TSC	Air Transat
268	SOO	Southern Air
269	ASK	La Ronge Aviation Services Ltd
270	TLB	Atlantique Air Assistance
271	VGV	Vologda State Air Enterprise
272	DOM	Dos Mundos
273	IRB	
274	OMF	Omniflys de C.V.
275	FCV	Flight Centre Victoria
276	ABA	Artem-Avia
277	UAK	Kiev Aviation Plant
278	ODS	Odessa
279	TIM	Star Asia
280	OVI	Aerovias Ejecutivas de C.V.
281	GIB	Air Guinee
282	MMA	MAI
283	KNT	Flightpath Charter Airways
284	AKR	Arctic Air
285	TUP	Tupolev Aerotrans
286	VLN	Valan
287	SVB	Svea Flyg AB
288	LTS	Ltu Lufttransport Unternehmen Sud GMBH Co, Munchen
289	FEA	Far Eastern Air Transport
290	BAF	Belgian Air Force
291	LAT	Lebanese Air Transport
292	SNL	Soonair Lines
293	DNK	D & K Aviation
294	GLA	Great Lakes Aviation Ltd
295	SRJ	Caucasus
296	PCK	Peacock H.e. And Son
297	WGS	Airwings Oy, Finland
298	FTY	
299	OTN	Lastp-Linhas Aereas de S. Tome E Principe
300	EFY	
301	SWR	Swiss
302	SEY	Air Seychelles
303	EYE	F.s. Air Service
304	KAV	Kavkazskie Aviatrassy
305	ETH	Ethiopian Airlines
306	GCP	Dac Air
307	BRN	Eclipse Airlines D/B/A Branson Airlines
308	ALZ	Alta Flights (Charters)
309	GEA	Guinea Ecuatorial Airlines
310	JSE	Jets Y Servicios Ejecutivos de C.V.
311	CAQ	Cityair
312	JLG	
313	CBK	Cheboksary Air Enterprise
314	FLY	Flying Enterprise AB
315	PHI	Philips Aviation Services
316	GNF	Gandalf
317	MTR	Metroflight
318	MKL	
319	FSK	
320	SVD	St. Vincent Grenadines Air
321	BAV	
322	RZV	Rzhevka
323	PCM	Westair Industries
324	SAB	Sabena
325	JPT	Prime Jets
326	CSK	Flightcraft
327	LTP	Latpass
328	KNX	Knighthawk Air Express Ltd.
329	TOW	
330	CTV	
331	TIB	
332	ICL	CAL Cargo Airlines
333	MMZ	Euroatlantic Airways
334	BEN	Bennington Aviation, Inc
335	BCY	Cityjet
336	TPV	
337	RNT	Rentavion
338	CWH	Canadian Warplane Heritage Museum
339	ARQ	Armstrong Air
340	BCM	Bcm Airlines
341	AVS	Artac
342	NVG	Novgorod Air Enterprise
343	TAP	Transportes Aereos Portugueses
344	WRD	World Airlines Limited
345	GFA	Gulf Air
346	LAC	Lockheed Aircraft Corp.
347	HLM	Heli Midwest de Mexico de C.V.
348	GHP	Colvin Aviation
349	BES	Aero Services Executive Sarl
350	TPR	Tapoavia
351	PGO	Aerolineas Panamericanas de Carga Ltda.
352	FWL	Florida West International
353	GNI	Gemini
354	DKN	Air Deccan
355	DTV	Centre Airlines
356	SCG	Sitra Cargo System
357	ERT	Eritrean Airlines
358	CIM	Cimber Air A/s
359	EDO	Elidolomiti
360	CDN	Canadian Helicopters
361	ALE	Aerolineas Especiales de Colombia
362	ALU	Alpine Luft-Transport AG
363	TXA	Texair Charter
364	OPT	Flight Options
365	NIS	Nicaraguense de Aviacion,s.a
366	SUY	Aerial Surveys
367	CMD	
368	RWG	C & M
369	LAN	LATAM
370	ICX	International Charter Xpress Ltd Co.
371	ASZ	Ascension
372	AOS	Servicios Aereos Del Sol de C.V.
373	FCN	Falcon Air AB
374	BZW	Zircon Airways
375	UPC	Air Foyle
376	PAH	Panorama Air Tour
377	AAJ	Air Alma
378	TMC	Travel Management Company. LTD
379	PGA	Portugalia
380	TVI	Tiramavia Ltd
381	GOA	Alberta Government
382	BTC	Bashkirian Airlines
