	icao_code	shortnames
892	DIC	Aeromedica de C.V.
893	SIB	Sibaviatrans
894	MNH	Monarch Airlines
895	UKP	Uk Home Office
896	AYY	
897	AIM	Ambulancias Insulares S.A.
898	BAK	Blackhawk
899	KMV	Komiinteravia
900	MCA	Midcontinent Airlines
901	EUU	Euroamerican Air
902	BLB	Atlantic Air Bvi
903	RBB	Rabbit-air Ag, Zurich
904	ERR	
905	OCA	Aeroservicios Carabobo, C.a.
906	LIN	Linair - Hungarian Regional Airlines
907	ARI	Aero Vics de C.V.
908	SPT	Bengis Aviation
909	RZZ	Anoka Air Charter
910	SST	RCMP
911	BTS	Techaviaservice
912	SGU	Servicios de Aerotransportacion de Aguascalientes de C.V.
913	TNI	Transair International Linhas Aereas Ltda.
914	EBF	Msr Flug-charter GMBH, Greven
915	NEB	Dept. Of Aeronautics, State Of Nebraska
916	CEU	Coventry Helicopter Centre
917	KYN	Kyrnair
918	VRG	Viacao Aerea Rio-grandense S.A. (VARIG)
919	CAZ	Cat Aviation AG
920	CBB	Air Caribbean Limited
921	FGH	Fan Airways
922	COY	Coyne Aviation Limited
923	HMP	Papair Terminal S.A.
924	SYK	Satsair
925	LAE	LANCO
926	LDB	Lada Air Ltd
927	MEM	Mediterranean Air Ambulance
928	THT	
929	NAR	Air Continental
930	RCV	Aerocanarias de Venezuela
931	ALG	Air Logistics
932	ORT	Air Orient
933	CTW	Cargo Three
934	BRE	Air Bretagne
935	MUN	Aeromundo Ejecutivo de C.V.
936	TSV	Tropair Airservices
937	TMT	Trans Midwest Airlines
938	CDG	Shandong Airlines
939	PRB	Puerto Rico Air Management
940	JDE	Air Med Jetoperations
941	CMA	Central European Airlines
942	ARS	Air Sardinia International
943	TLW	Teamline Air Luftfahrt
944	MIE	Aero Premier de Mexico de C.V.
945	GJS	GoJet
946	MWS	Mongolian Airways
947	SPC	Skyworld
948	GGN	Air Georgian
949	VSK	Skyven Cielos de Venezuela
950	CNK	Sunwest Home Aviation Ltd.
951	TLR	
952	ETO	Eteleair
953	PLE	Pas Airlines
954	PAO	Samoa Airways
955	TSO	Transaero
956	REM	Riecam
957	TDA	Trend Aviation
958	IZG	Zagros Airlines
959	MAM	Aerodromo de la Mancha S.L.
960	SEO	Selcon
961	AWK	Airwork Services Training
962	DNU	
963	NBS	Nimbus Aviation
964	CXH	China Xinhua Airlines
965	TTM	Societe Tout Transport Mauritanien
966	UTP	Uni-topAirlines
967	TNO	Aerotransporte de Carga Union
968	DNR	Dynamair Aviation
969	TUX	
970	RXM	Remex
971	BDR	
972	JTN	Jet Test
973	SFF	Safewing Aviation Company
974	JFC	Ltv Jet Fleet Corp.
975	SBS	Seaborne
976	NWN	Northwinds Northern
977	MNA	Merpati Nusantara  P.t.
978	BGE	Bridge
979	CVL	Coval Air
980	UGG	Ugland Air A/s
981	DND	Eldinder Aviation
982	ITK	Interlink
983	CSC	Sichuan Airlines
984	ROA	Reno Air
985	LVR	Aviavilsa
986	RRR	Raf-hqstc (Air Transport)
987	SKN	Skyline Aviation Services
988	UDN	Dniproavia
989	EWF	Eurowings Flug
990	RVR	Raven Air Ltd.
991	PUE	Plus Ultra
992	KOW	
993	CRZ	Servicos Aereos Cruzeiro Do Sul
994	AAD	Aero Aviation Centre
995	FDS	
996	RSY	I Fly
997	COP	Copper State Air Service
998	EWW	Emery Worlwide
999	EPE	Aero Empresarial de C.V.
1000	ORL	On Air Limited
1001	EUH	Euralair Horizons
1002	TVD	Aeroflight
1003	HCN	Naske Air H&c, Magdeburg
1004	TUR	Aerotur
1005	AMT	American Trans Air
1006	SCX	Sun Country Airlines
1007	CVI	Cassovia Air
1008	MYA	Myflug H.f.
1009	JSN	Suncor Energy
1010	TCO	Aerotranscolombiana de Carga Ltda.
1011	WJA	WestJet
1012	AVN	
1013	JCP	Jetcopter
1014	AWR	Arctic Wings And Rotors Ltd
1015	PFT	Paragon Airways
1016	FRW	Farwest
1017	JAV	
1018	BOL	Transportes Aereos Bolivianos
1019	CLE	Colemill Enterprises
1020	LNC	Lan Dominicana
1021	SGT	Skygate
1022	AIX	Aircruising Australia
1023	MGG	Magadanaerogruz
1024	MLP	Asia Pacific Airlines
1025	JID	Air Condal
1026	VTR	Air Ostrava
1027	QAC	Qatar Air Cargo
1028	DAV	Dornier Aviation Nigeria Aiep Ltd
1029	CUS	Cronus
1030	AFU	Afrinat International Airlines
1031	VTA	Air Tahiti
1032	PAR	Spair Air Transport Corporation
1033	DET	Delta Aviation
1034	WSA	Westates
1035	RZO	Sata Internacional
1036	KKA	Kazavia
1037	IPN	Industri Pesawat Terbang Nusantara, Pt.
1038	STZ	Sat Air
1039	SKV	Sky Regional
1040	PRF	Precision Air Services Ltd.
1041	AGN	Compagnie Nationale Air Gabon
1042	GCC	General Electric Capital Aviation Services
1043	EXW	Executive Airlines Services Ltd
1044	EJC	Grupo de Aviacion Ejecutiva de C.V.
1045	PRW	Primeria Air Nordic
1046	BRM	Air 500 Limited
1047	RWE	Royal West
1048	RMC	Rmc Group Services Ltd
1049	LKP	American Aviation
1050	HBC	Haitian Aviation Line S.A.
1051	LGW	LGW
1052	JST	Jetstar
1053	JCC	JC International Airlines
1054	JDI	
1055	TEK	Aero Tech
1056	LRO	Alrosa Avia, Joint-Stock Company
1057	IFL	Ifl Group
1058	SCS	Straits Air Charter
1059	BSY	Big Sky
1060	HJC	Heathrow Jet Charter
1061	AZA	Alitalia
1062	JGO	JETGO Australia
1063	SBY	Bfs Berliner Spezial Flug, Luftfahrtunternehmen
1064	CGZ	Colorful Guizhou
1065	SNM	Servizi Aerei Spa
1066	PAS	Pelita Air Service P.t.
1067	RIR	Ronnair Oy, Finland
1068	ASW	Air Southwest
1069	AFO	Aero Empresa Mexicana
1070	SHA	
1071	SOW	Sowind Air
1072	PRZ	Air Paradise
1073	CDF	Samanta S.p.a.
1074	AZT	Azimut
1075	LRE	Lasare Airline
1076	HLO	Samaritan Air Service
1077	IMS	Air Images
1078	AGI	Agrar-Aviacion
1079	QNK	Kabo Air Travels
1080	LAI	Lesotho Airways Corporation
1081	ASV	Air Seoul
1082	KZU	
1083	MRC	Martin Companies
1084	PRX	Vip Aviation
1085	SSG	Slovak Government Flying Service
1086	JKY	Helicopter & Aviation Services Ltd
1087	ANX	Airnorterra
1088	NAI	North Adria Aviation
1089	SFG	Caribbean Sun
1090	HHN	Hahn Air
1091	SKE	Sky Tours
1092	JEL	Tal Air Charters Ltd
1093	DMJ	
1094	SMS	Servicios Aerolineas Mexicanas de C.V.
1095	MIC	Aerolineas de Michoacan
1096	SIS	Silver Air
1097	SPW	Speedwings Sa
1098	RSN	Royal Swazi National Airways
1099	AEG	Airest
1100	GBC	Globe Air Cargo
1101	KSF	
1102	OCT	Occidental Airlines
1103	AAH	Aloha Cargo
1104	AFX	Airfreight Express Limited
1105	JAS	Jet Aviation Flight Services
1106	PCN	Princeton Aviation
1107	OHY	Onur Hava Tasimacilik Awms
1108	CWL	Cranwell Ftu
1109	GDG	S. P. Aviation
1110	CRG	
1111	FGG	Transportes Aereos Fueguino
1112	AZU	Azul Brazilian Airlines
1113	BLG	Belgavia
1114	INE	Interamericana de C.V.
1115	TTU	Ttt Air
1116	EZX	
1117	MGX	Montenegro Airlines
1118	LKY	Air Solution
1119	DYT	Yankee Delta
1120	BZD	Canadian Global Air Ambulance
1121	TCN	Trans Continental
1122	ASP	AirSprint
1123	PNM	Panorama
1124	OWL	Miami Valley Aviation
1125	GOF	Gof-Air
1126	LII	Flight Research Institute, M. Gromov
1127	PFA	Pacific Flight Services Pte Ltd
1128	LAM	Lam - Linhas Aereas de Mocambique
1129	EXM	Caa Flight Examiners
1130	AAK	Alaska Island Air
1131	TVL	Smartwings Hungary
1132	JSH	Jetstream Air Ltd
1133	WAJ	AirAsia Japan
1134	GUN	Grant Aviation
1135	REH	
1136	TCC	Trans Continental Airlines
1137	CLX	Cargolux Airlines International
1138	CBY	Coningsby Ftu
1139	FEX	Flightexec Limited
1140	NKM	Nizhnekamsk Air Enterprise
1141	WPK	Air-Lift Associates
1142	CFP	Compania de Aviacion
1143	MSP	Servicio de Vigilancia Aerea Del Ministerio de Seguridad Publica
1144	TGG	Tigerair Australia
1145	SBZ	Scibe Airlift
1146	RAI	Royal Air Inter
1147	ACU	Aerocancun
1148	MEX	Metro Express Ii
1149	BOX	AeroLogic
1150	RSO	Aero Asia
1151	BAZ	Bargouzin Airline
1152	ECR	Air Charter Express A/s
1153	BZH	Britair
1154	UIR	Ukrair
1155	OCL	Over-Night Cargo Limited
1156	AYA	Federal Aviation Administration
1157	RBJ	Aeroservicios Del Bajio de C.V.
1158	CPG	Corporacion Aeroangeles de C.V.
1159	NTL	Air Anatolia
1160	WRR	Wra
1161	RUS	Firma Cirrus, Saarbrucken
1162	ICT	Intercontinental de Aviacion Ltda.
1163	SRL	Varmlandsflyg AB
1164	AIH	Alpine Air Chile, S.a.
1165	GOM	Gomel
1166	SBX	North Star Air Cargo
1167	NSS	Northstar Aviation
1168	BBD	Bluebird Cargo
1169	HLA	Heavylift Cargo Airlines
1170	PRR	Paramount Airlines
1171	HTA	Heli-Trans AS
1172	GZQ	Zagrosjet
1173	MUI	Trans Air
1174	CLV	Cal Aviation
1175	ASE	Airstars
1176	BRO	Base Regional
1177	HSK	Sky Europe
1178	KTB	Transaviabaltika
1179	LCA	Leconte
1180	ZOZ	Oceanic Air Traffic Control
1181	FNG	Frontier Guard, Finland
1182	SMR	
1183	MBS	Mbachi Air/ground Services Limited
1184	OWR	Crown Air Ltd
1185	NFL	Northaire Freight Lines Ltd.
1186	OOM	Zoom
1187	APK	
1188	FRC	Icare Franche Compte
1189	SIE	Sierra Express
1190	JAI	Jet Airways
1191	OSI	Aerosi de C.V.
1192	DBY	Britannia
1193	CBH	
1194	GYA	Guyana Airways
1195	WDY	
1196	FUR	Air Poitiers
1197	CYF	Tus Airways
1198	BDN	Boscombe Down Dteo
1199	MSA	Mistral Air Srl
1200	ADA	Airservices Australia, Flight Inspection Unit
1201	NTE	Interaire de C.V.
1202	TBZ	
1203	TVP	Transportes Aerovip
1204	TCY	Twin Cities Air Service
1205	PAY	Aerolineas Paraguayas - Arpa
1206	DYA	Dynamic Air
1207	KAP	Cape Air
1208	SHE	Shell Aircraft
1209	IVJ	Flight International
1210	LEU	Lions-Air AG
1211	TXZ	Tex Star Air Freight
1212	GTM	Grupo Turistico Magno de C.V.
1213	SGV	Aerosegovia
1214	NIK	Niko Air Ltd
1215	ASN	Air Straubing Luftfahrtgesellschaft Mbh, Atting
1216	RLE	RLA-Rico Linhas Aereas S/L
1217	MLM	
1218	KOK	Horizon Air Service
1219	REN	Arena
1220	ABG	Royal Flight airlines
1221	SPH	Sociedade Portuguesa de Helicopteros, Lda.
1222	MXF	
1223	LDR	Aero Lider de C.V.
1224	FLP	Aeroclub Flaps
1225	MCF	M.a.c. Fotografica
1226	ATN	Air Transport International Llc
1227	CSH	Shanghai Airlines
1228	BLA	All Charter
1229	MMH	Mikromatika Air Cargo Ltd.
1230	LLO	Operation Enduring Freedom, Afghanistan
1231	ANO	Airnorth Regional
1232	HHA	
1233	TBG	
1234	AMO	Air Montreal
1235	NTR	Tnt International Aviation
1236	NCE	Northcoast Executive
1237	WSN	Advanced Air
1238	ORS	Action Air
1239	AVJ	Avia Traffic Company
1240	CCR	Carga Aerea Venezolana Caraven
1241	SRQ	Cebgo
1242	WIL	Aero Air
1243	KFS	
1244	TCX	Thomas Cook
1245	CRL	Corsair International
1246	AZP	Amaszonas Paraguay S.A.
1247	ZAN	Zantop
1248	RAE	Regional Compagnie Aerienne Europeenne
1249	TOY	Toyo
1250	OJA	Oriental Pearl
1251	HKA	Superior
1252	CBN	Southern Illinois University
1253	AWY	Aeroway S.l.
1254	TEX	Catex, Compagnie
1255	FRT	Aerofreight Airlines
1256	NAP	Napier Air Service
1257	NOA	National Oceanic And Atmospheric Administration
1258	BZF	Jet Aviation Business Jets
1259	AKT	Aircompany Karat
1260	OXF	
1261	BRU	Belavia
1262	UTT	Transarabian Transportation Services
1263	GAV	Granada Aviacion
1264	SAX	Sabah Air
1265	BLL	Baltic Airlines
1266	HGD	Hangard
1267	EJT	Aero Ejecutiva
1268	RKU	Southern Air
1269	LTZ	Lotos Air
1270	TRF	Air Transafrik
1271	LRT	Liberty Jet
1272	AHT	Hta Helicopteros, Lda
1273	SFB	Air Sofia
1274	RPA	Republic
1275	ELK	Eesti Lennukompanii
1276	MAU	Air Mauritius
1277	TVO	Transavio
1278	CEA	RegionsAir
1279	CAH	Chari Aviation Services
1280	SIA	Singapore Airlines
1281	IFX	International Flight Training Academy
1282	CIP	
1283	AAC	Army Air Corps
1284	WSX	Wessex Air Services Ltd
1285	MBR	Brazilian Navy Aviation
1286	NTU	Century Aviation
1287	LCB	LC Perú
1288	SDC	Sunrise
1289	SNW	Sun West
1290	BFR	Burkina
1291	ADJ	Batumi
1292	BOF	Bordaire
1293	RDR	Goodridge
1294	AEY	
1295	TFH	Thai Flying Helicopter Service
1296	SML	Smith Air
1297	DRE	Michigan Airways D/B/A Drummond Island Air
1298	AHK	Ahk Air Hong Kong Limited
1299	JDP	
1300	JRP	Simurg, Joint-Stock Company Radio Electronic Plant
1301	SGQ	
1302	VEN	Capital Aviation
1303	RCT	Ryan Air Service
1304	CRP	Aerotaxis Corporativo de C.V.
1305	LLB	Lloyd Aereo Boliviano
1306	SXL	Skyline Flight
1307	PLR	Northwestern Air Lease Ltd.
1308	UKW	Lvov
1309	ISS	Air Italy
1310	SMF	Smalandsflyg AB
1311	KIS	Kish Air
1312	DUN	Dunsfold Bae
1313	RAU	Uganda Royal Airways
1314	RMO	Rybinsk Motors, Joint-Stock Company
1315	CLM	Cargo Link
1316	RAB	Rila Airlines
1317	PXT	
1318	CJA	Canjet
1319	USC	AirNet
1320	LOS	Lossiemouth Ftu
1321	AID	Alti
1322	GRD	National Grid Co
1323	JAC	Japan Air Commuter Co.
1324	FAW	Falwell Aviation
1325	HGE	
1326	HGK	Fika Salaama
1327	HEP	Heliopolis Airline
1328	EXS	Jet2
1329	NVY	Royal Navy
1330	KPR	Kapa Air
1331	FLA	Midway Express
1332	NIC	Northern Illinois Commuter
1333	TUF	American Aviation Services Ltd
1334	IBA	Lineas Aereas Iberoamericanas
1335	KNS	Kenuz Airlines
1336	AIK	African Airlines International Limited
1337	CUA	China United Airlines
1338	CRR	Canadian Pacific Railway
1339	TNV	TransNorthern
1340	RST	Resort Air
1341	CDC	Zhejiang Loong
1342	WLB	Wings of Lebanon
1343	NXT	Texas Air Charters
1344	ESB	Aereosaba de C.V.
1345	CSI	Central Skyport
1346	PZR	Sky Trek
1347	SWP	Star Work Sky
1348	BBR	SBA Airlines
1349	NBA	North East Bolivian
1350	COS	Concors Latvian Air Service
1351	SHG	Shoprite Group Ltd
1352	SFJ	
1353	BMJ	Bemidji Aviation
1354	DRM	Airways Flight Training
1355	ASM	Scta Air Saint Martin
1356	TXB	Bell Helicopter, Textron Canada
1357	ERV	Yerevan-Avia
1358	WNT	Winnport Logistics
1359	ESU	Aerolineas Ejecutivas Del Sureste de C.V.
1360	TSL	Transaero-Samara Airlines
1361	HPJ	Hop-a-Jet
1362	EUW	
1363	MDN	Universair
1364	UKT	Atlantic Bridge Aviation Ltd
1365	MNV	Mauritanienne Aerienne Et Navale
1366	BZE	
1367	GAT	Gulf Air
1368	ICV	Cargolux Italia
1369	UNS	Unsped Paket Servisi
1370	BEA	Benavia
1371	WWA	Worldwide Aviation Services Ltd.
1372	LCR	Libyan Arab Company For Air Cargo
1373	ERF	Aerofatra
1374	SRK	Skywork
1375	IJM	
1376	AZY	Aztec Airways
1377	CBI	Cabi
1378	KGY	Air-Kyrgyzstan
1379	CMT	Casement Aviation
1380	PCA	Peaceair
1381	HZN	Horizon Airlines Ltd
1382	IBY	International Business Aircraft
1383	EAN	Express Airways Nigeria
1384	SVF	Swedish Armed Forces
1385	LES	Automotores Salta S.A.c.y F.
1386	ABH	Aebal Aerolineas de Baleares
1387	CLJ	Airlines Management Limited
1388	SWV	Swe Fly
1389	RFX	JP Hunt
1390	CVF	Dassault Falcon Jet
1391	PVV	Continental
1392	AUU	Aurora Aviation
1393	DRT	Darta
1394	AZN	Servicios Aereos Amazonicos
1395	TUO	Taxi Aereo Turistico de C.V.
1396	RAX	Royal Air Freight
1397	NIE	Aeroejecutiva Nieto de C.V.
1398	AMH	Alan Mann Helicopters
1399	SBK	Air Srpska
1400	PLI	Empresa de Transporte Aereo Del Peru
1401	BHO	Bhoja Airlines
1402	ESS	Eos Airlines
1403	CXN	China Southwest Airlines
1404	ITB	Interbrasil Star S/a
1405	GWY	Usa 3000 Airlines
1406	CGM	Cargoman Limited
1407	AIO	Chief Of Staff, USAF
1408	AWX	Aerodrome Standards 2
1409	ARA	Arik Air
1410	PVN	
1411	PMC	Primac Courier
1412	CMY	Cape Smythe Air
1413	LSF	Airailes
1414	FMC	Claessens International Ltd
1415	DRS	Drenair
1416	SRY	Via Airlines
1417	FFC	Fairoaks Flight Centre
1418	BSS	Air Business, S.l.
1419	CJX	Jiangxi
1420	CEJ	Corporacion Aerea Ejecutiva de C.V.
1421	UNI	Community Express
1422	LEK	Let
1423	RIM	Rimrock
1424	BWL	British World Airlines
1425	ECJ	East Coast Jets, Inc
1426	PHL	Phillips Michigan City Flying Service
1427	CBE	Aerovias Caribe
1428	MOV	VIM Airlines
1429	FAJ	Fiji Air Services Limited
1430	CUH	
1431	MXX	Merchant Express Aviation
1432	AMQ	Aeromedicare Ltd
1433	KUS	Kursk State Air Enterprise
1434	IFA	Fai Airservice, Nurnberg
1435	MTZ	
1436	MVD	Kavminvodyavia
1437	CNM	Canarias Regional
1438	WAK	Alaska Juneau Aeronautics D/B/A Wings Of Alaska
1439	SBI	S7 Airlines
1440	MYL	Aeromyl de C.V.
1441	NOJ	NovaJet
1442	TUY	Linea Turistica Aereotuy Lta, C.a.
1443	BDY	Birdy
1444	PUA	Primeras Lineas Uruguayas de Navegacion Aerea
1445	QNA	Queen Air, Aeronaves Queen
1446	BNR	Bonair Aviation
1447	GGW	Heli Training Vallee
1448	SBM	Sky Bahamas
1449	ANJ	Aero-Alentejo, Servicos Aereos, Lda.
1450	HKE	
1451	SVV	Empresa Servicios Avensa
1452	PVA	Aerotransportes Privados de C.V.
1453	IIN	Inter Islands Airlines
1454	SAN	Servicios Aereos Nacionales
1455	MIK	Meerblick
1456	AIZ	Arkia Israel Inland Airlines
1457	SJC	Servicios Ejecutivos Continental de C.V.
1458	UNA	Universair
1459	SVE	Aero Servicios Especializados de C.V.
1460	FGS	Elitellina
1461	TAH	Air Moorea
1462	GJD	Channel Aviation Ltd
1463	SUE	Aerolineas Del Sureste
1464	FPY	Compagnie Africaine d'Aviation
1465	POB	Servicios Aereos Poblanos de C.V.
1466	AJC	Bar Harbor
1467	HIA	Canadian Eagle Aviation
1468	PTM	Southeastern Airways
1469	NAF	Royal Netherlands Air Force (Koninlijke Luchtmacht)
1470	LWD	Leisure Air
1471	MXG	Terrex Group J.s.c.
1472	OPN	
1473	TEG	TEA
1474	NPC	Western Air Couriers
1475	KHC	Kitty Hawk
1476	SNB	Sterling European Airlines
1477	BIZ	Bizjet Ltd
1478	LPL	Lease-A-Plane International
1479	AUY	Aerolineas Uruguayas
1480	SNJ	Solaseed
1481	TLS	Tlc Air
1482	CHF	Chitaavia
1483	ORF	Oman Royal Flight
1484	AMV	Aircraft Maintenance Company
1485	LET	Aerolineas Ejecutivas
1486	MUA	Murray Aviation
1487	MOE	Mostarez Air
1488	IOA	Iowa Airways
1489	PSW	Pskov State Aviation Enterprise
1490	SCC	Seacoast
1491	PCT	Peace Air Togo
1492	KLS	KalStar
1493	VAM	Ameravia
1494	NEX	Northern Executive Aviation Ltd.
1495	AVI	
1496	RMM	
1497	ZBA	Boskovic
1498	JLL	
1499	KQA	Kenya Airways
1500	CIA	Civil Aviation Authority Of The Slovak Republic
1501	XIA	Irving Oil Ltd (Gander FBO)
1502	QQA	Alliance Airlines
1503	SJM	
1504	ZAS	Zas Airlines Of Egypt
1505	IAE	Interstate Airlines Limited
1506	RCU	Atlantic S.l.
1507	SHV	Shavano Air
1508	RYA	Ryan Air Services
1509	XLJ	XCEL Jet
1510	AIU	Alicante Internacional Airlines S.l.
1511	CFS	Empire
1512	DDD	Air Net 21/Flying Dandy
1513	FWR	FlightAware
1514	UKN	Ukraine Air Enterprise
1515	GFS	Gulfstream
1516	DIA	Direct Air
1517	LAR	Lawrence Aviation
1518	SHL	Samson Aviation Ltd
1519	ILA	Islena de Aviacion
1520	VCA	Vica
1521	RLR	Business Airfreight
1522	IOS	Isles Of Scilly Skybus
1523	URV	Uraiavia
1524	HPN	Linear Air
1525	HRT	Chartright Air
1526	BPK	Berkhut ZK
1527	TUQ	Air Turquoise
1528	RAG	Xstrata Canada Corporation
1529	MTB	Aerotaxis Metropolitanos de C.V.
1530	VKL	Aerovekel
1531	TNB	Trans Air-Benin
1532	SON	Sunshine Air Tours
1533	TWN	Avialeasing Aviation Company
1534	VZL	Vzlyet
1535	IRE	Pariz Air
1536	SUW	Astair
1537	WDS	Four Winds Aviation Ltd.
1538	TRT	Trans Arabian Air Transport
1539	LTF	Lufttaxi Fluggesellschaft Mbh, Dortmund
1540	HIB	Helibravo Aviacao
1541	EXD	Execujet
1542	MEL	Bae Civil Division Warton
1543	LAZ	Balkan-bulgarian Airlines
1544	VCV	
1545	VNL	Vanilla
1546	GAS	Galena Air Service
1547	CIE	Czech Government Flying Service
1548	GND	Grand
1549	SZT	Servicios Aeronauticos Z de C.V.
1550	OZB	Zona Blava, S.l.
1551	OTS	Societe de Taxis Aeriens
1552	FFG	Flugdienst Fehlhaber GMBH, Neustadt/wied
1553	LSV	Alak
1554	RSC	Aerolíneas Ejecutivas
1555	CTS	Center-South Ltd
1556	AWS	Arab Wings Company
1557	UCG	
1558	RES	Restauraciones Aeronauticas de C.V.
1559	VTS	Everts Air Cargo
1560	FFL	
1561	DNJ	Aerodynamics
1562	VAS	Atran-Aviatrans Cargo
1563	GON	Gonini Air
1564	RPS	Global Air Charter
1565	AKX	ANA Wings
1566	AHP	Aerochiapas de C.V.
1567	TMO	Tomskneft-VNC
1568	TPZ	Transportes La Paz de C.V.
1569	HMA	Air Tahoma
1570	MEP	Midwest Airlines
1571	BRG	Bering Air
1572	LMC	Linea Aerea Mexicana de Carga de C.V.
1573	EAC	Executive Air Charter
1574	BFA	Presidence du Faso
1575	LDC	Ladeco Cargo
1576	JON	
1577	IAN	Compania Interandina de Aviacion
1578	POT	Polet
1579	LAV	AlbaStar
1580	GMR	Golden Myanmar
1581	CTA	Aero Charter And Transport
1582	XST	Skyteam GMBH, Kelsterbach
1583	WHY	Air Sorel
1584	AZF	Air Zermatt AG
1585	CLN	Barnes Olson Aeroleasing
1586	AGR	Dept. Of Agriculture
1587	EBE	Minebea Technologies
1588	TAD	Transporte Aereo Dominicano
1589	GLJ	
1590	ELO	Eurolot
1591	GUL	Gull Air
1592	NKT	North Country Aviation
1593	FDE	Federico II
1594	BTU	Rolls Royce Ltd. (Bristol Engine Division)
1595	MGR	Magna Air Ges.m.b.h.
1596	DMS	Air Dimension
1597	TMG	Tri-MG Intra Asia Airlines
1598	ELC	Elilario
1599	TBO	Taxis Aereos de Caborca de C.V.
1600	SOR	SonAir
1601	RLN	Ruslan Airline
1602	COZ	Cosmic Air
1603	FPO	
1604	IAI	Israel Aircraft Industries
1605	PRT	Atlantic Coast Jet
1606	SSB	Sasair
1607	SIY	
1608	ANF	Aero North Icelandic
1609	BPA	Blue Panorama
1610	DAF	Danish Air Force
1611	EXX	International Air Corp.
1612	BIO	Bio
1613	LCN	Lineas Aereas Canarias, SA
1614	TSB	Transports Aeriens Du Benin
1615	BLE	Executive Air Services
1616	HCL	Helenair
1617	IVA	Innotech Aviation Limited
1618	CEY	Air Century, S.A.
1619	GTF	
1620	BLR	Metropolitan Aviation 
1621	VIV	VivaAerobus
1622	TGZ	Georgian Airways
1623	MJE	Empire Aviation
1624	WTM	Waitemata Aero Club
1625	PRL	Aviaprima
1626	UMB	Air Umbria, Societa
1627	CLR	Trans America
1628	LGN	Alta S.A.
1629	ECF	Eurocopter
1630	SDF	Sundorph Aeronautical Corp.
1631	LTH	Stealth Aviation Limited
1632	AIB	Airbus Industrie
1633	CYE	Aerocheyenne de C.V.
1634	AUB	Augsburg-airways GMBH
1635	VTI	
1636	WIA	Windward Islands Airways International N.v.
1637	AIL	Air Illinois
1638	HAF	Hellenic Air Force
1639	COF	Confort Air
1640	CSD	Courier Services
1641	SES	Servicio Aereo Saltillo de C.V.
1642	CFC	Canadian Armed Forces
1643	CHJ	Aircompany Chaika
1644	TMR	Timberline Air
1645	APX	Apex Air Cargo
1646	UES	Ues-Avia Aircompany
1647	UDA	Pusdiklat Perhubungan Udara/plp
1648	VYT	Valley Ftu
1649	BIM	Binter-Mediterraneo
1650	AGK	Aeroleasing Ukraine
1651	ACR	Asa, Air Starline AG
1652	KOE	Northland Aviation
1653	DBE	Danube-Air
1654	CPY	Air Company
1655	GTA	Gt Aviation
1656	BYC	Northern Airlines Sanya
1657	STX	Aerocharter
1658	LSA	Leader S.R.L.
1659	PHC	Petroleum Helicopters de Colombia S.A.
1660	EGL	Capital Air Charter
1661	GAA	Global Africa Aviation
1662	EFL	Eagle Air
1663	AMB	Deutsche Rettungsflugwacht E. V
1664	TAE	Tame Ep
1665	ARH	Arrowhead
1666	BKP	Bangkok
1667	AUH	Amiri Flight
1668	RLK	
1669	WUK	Wizz Air UK
1670	TIN	Taino Tours
1671	PDT	Piedmont
1672	SXE	Southeast Express
1673	JEV	Lagun Air
1674	AHA	Air Alpha A/s
1675	TOO	Alieurope
1676	STK	Stobart Air
1677	PWF	Private Wings Flugcharter
1678	STT	Air St. Thomas
1679	BBG	Alisea
1680	ITI	Itapemirim
1681	QUA	Quassar de Mexico de C.V.
1682	WCA	West Coast Airways
1683	SFC	Shuswap Flight Centre Ltd.
1684	IST	Istanbul Airlines
1685	MKA	MK
1686	SLF	Skyline Flights
1687	XAA	ARINC/Aeronautical Radio
1688	CPE	Aerocomponentes Internacionales de C.V.
1689	CSP	Casper Air Service,inc.
1690	SVX	Security Aviation
1691	YZR	
1692	SMZ	Sonmez
1693	SSO	Special Scope
1694	RAD	Alada Empresa de Transportes Aereos
1695	CIU	Cielos Del Peru S.A.
1696	AZL	Air Zanzibar Limited
1697	CET	Centrafrican
1698	RCS	Air Consul
1699	ERS	Red Sea Air Plc
1700	XLS	ExcelAire, LLC
1701	ARZ	Azur Air
1702	CRU	Cherkasy Universal Avia
1703	LCO	
1704	KLX	Kalix Air
1705	SIM	Simulated Flight Training Limited
1706	WSM	Wisman Aviation
1707	GRF	Aerogryf
1708	DSU	Delta State University
1709	WST	
1710	ABX	
1711	AWE	US Airways
1712	CIO	Il Ciocco
1713	SKR	Shonkar
1714	DCN	Federal Armed Forces, Federal Republic Of Germany
1715	WPA	Western Pacific Airservice
1716	STI	Sontair
1717	FDK	FlyDamas
1718	FSW	Faso
1719	WAE	Western Air Express
1720	MND	Madina
1721	VOE	
1722	SYF	Sky One Express
1723	CPS	Compass Aviation
1724	GFI	Caribbean Star
1725	RVJ	
1726	TML	Societe Anonyme de Transport Et Travaux Aeriens de Madagascar
1727	TPG	Transportes Aereos Pegaso de C.V.
1728	ROJ	
1729	VAL	Voyageur
1730	MPD	Air Comet
1731	CCM	Air Corsica
1732	AKC	Arca Aerovias Colombianas Ltda.
1733	KLM	KLM
1734	TLO	Eagle Canyon
1735	MER	Methow Aviation
1736	SUL	Tam Express
1737	CTM	Commandement Du Transport Aerien Militaire Francais
1738	BTT	BT-Slavuta
1739	GAU	Aerogaucho S.A.
